detector_family,detector_label,mh_value,mh_level,granularity,scope_id,threshold,weighted_f1_mean,weighted_g_mean,combined_f1,rank_score,source_root,best_configuration_path
modified_sn,Modified Sn,5,mh5,global,GLOBAL_2026-02-08,4.0,0.38453093672183014,0.674019043300439,0.38453093672183014,0.674019043300439,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh5\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
modified_sn,Modified Sn,10,mh10,global,GLOBAL_2026-02-08,4.0,0.3974437010203657,0.6929004087830032,0.3974437010203657,0.6929004087830032,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
modified_sn,Modified Sn,15,mh15,global,GLOBAL_2026-02-08,4.0,0.38246664755231763,0.6920478347690364,0.38246664755231763,0.6920478347690364,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
modified_sn,Modified Sn,20,mh20,global,GLOBAL_2026-02-08,4.5,0.38577179648549065,0.724410231120091,0.38577179648549065,0.724410231120091,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
modified_sn,Modified Sn,25,mh25,global,GLOBAL_2026-02-08,5.0,0.426828249678135,0.7788901091420048,0.426828249678135,0.7788901091420048,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh25\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
modified_sn,Modified Sn,30,mh30,global,GLOBAL_2026-02-08,5.0,0.43053245402787765,0.7863087885499157,0.43053245402787765,0.7863087885499157,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh30\global\GLOBAL_2026-02-08\modified_sn\best_configuration.json
standard_zscore,Z-score,5,mh5,global,GLOBAL_2026-02-08,2.75,0.5968196949755514,0.8022680999668882,0.5968196949755514,0.8022680999668882,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh5\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
standard_zscore,Z-score,10,mh10,global,GLOBAL_2026-02-08,2.75,0.614208548455268,0.8135358925150957,0.614208548455268,0.8135358925150957,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
standard_zscore,Z-score,15,mh15,global,GLOBAL_2026-02-08,2.75,0.5800122715954794,0.802424078895376,0.5800122715954794,0.802424078895376,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
standard_zscore,Z-score,20,mh20,global,GLOBAL_2026-02-08,3.0,0.5845492438695548,0.8231148259382473,0.5845492438695548,0.8231148259382473,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
standard_zscore,Z-score,25,mh25,global,GLOBAL_2026-02-08,2.75,0.5795742031656181,0.8617362200968449,0.5795742031656181,0.8617362200968449,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh25\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
standard_zscore,Z-score,30,mh30,global,GLOBAL_2026-02-08,3.0,0.6108822257908414,0.873097725916012,0.6108822257908414,0.873097725916012,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\z_score_global_single_attempt_batch\mh30\global\GLOBAL_2026-02-08\standard_zscore\best_configuration.json
