detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
IF,new_prices,list_price_violation,0.02582904293861702,0.3024766544863987,0.04759395013815022,0.871821014264665,0.12817898573533504,0.6975233455136013,0.5135226418627661,1490,56197,3436,382229,4926,438426,57687
IF,new_prices,negative_price,0.08679598523064122,1.0,0.15972820365585225,0.8798206891831777,0.12017931081682237,0.0,0.9379875741091551,5007,52680,0,385665,5007,438345,57687
IF,new_prices,price_drop,0.05970149253731343,0.7050153531218014,0.11008118647318291,0.876289435692994,0.123710564307006,0.2949846468781986,0.7860009579777879,3444,54243,1441,384224,4885,438467,57687
IF,new_prices,price_noise,0.012567822906374053,0.14936135146271118,0.023184790777250122,0.8700974690876583,0.12990253091234166,0.8506386485372889,0.36049817459623457,725,56962,4129,381536,4854,438498,57687
IF,new_prices,price_spike,0.08377970773311144,0.9757722592368262,0.15431034482758618,0.8794385936099307,0.12056140639006932,0.024227740763173834,0.9263540270041574,4833,52854,120,385545,4953,438399,57687
IF,new_prices,zero_price,0.08549586561963701,1.0,0.15752407416279407,0.8796701792801424,0.12032982071985768,0.0,0.937907340455411,4932,52755,0,385665,4932,438420,57687
IF -> Z-score (50/50),new_prices,currency_swap,0.08396870977324487,0.6945126945126945,0.14982332155477032,0.9156061559794557,0.08439384402054426,0.30548730548730546,0.797433444559295,3392,37004,1492,401464,4884,438468,40396
IF -> Z-score (50/50),new_prices,decimal_shift,0.08287949301911081,0.6781446222402269,0.14770696843359143,0.9154955920760011,0.08450440792399895,0.32185537775977313,0.7879329999758689,3348,37048,1589,401367,4937,438415,40396
IF -> Z-score (50/50),new_prices,extreme_outlier,0.08498366174868799,0.6925559814403873,0.15139020571957754,0.9156856259765737,0.08431437402342636,0.3074440185596127,0.796343868808608,3433,36963,1524,401432,4957,438395,40396
IF -> Z-score (50/50),new_prices,list_price_violation,0.055475789682146746,0.45493300852618757,0.09889237015136138,0.9129727707754558,0.08702722922454416,0.5450669914738124,0.6444698979094117,2241,38155,2685,400271,4926,438426,40396
IF -> Z-score (50/50),new_prices,negative_price,0.08421625903554808,0.6794487717195926,0.1498579389027157,0.9156052880721806,0.08439471192781942,0.32055122828040744,0.788737528180704,3402,36994,1605,401351,5007,438345,40396
IF -> Z-score (50/50),new_prices,price_drop,0.07349737597781959,0.6077789150460594,0.13113667984364305,0.9146412386793077,0.08535876132069233,0.39222108495394065,0.745586788845466,2969,37427,1916,401040,4885,438467,40396
IF -> Z-score (50/50),new_prices,price_noise,0.03393900386176849,0.28244746600741655,0.06059668508287292,0.9110030148370118,0.08899698516298821,0.7175525339925835,0.5072578171559615,1371,39025,3483,399473,4854,438498,40396
IF -> Z-score (50/50),new_prices,price_spike,0.08369640558471136,0.6826165960024227,0.1491102339632627,0.9155677818608163,0.08443221813918371,0.31738340399757725,0.7905578806534782,3381,37015,1572,401384,4953,438399,40396
IF -> Z-score (50/50),new_prices,zero_price,0.08302802257649272,0.6800486618004866,0.1479879985880692,0.9155102413211076,0.08448975867889238,0.3199513381995134,0.7890446847137745,3354,37042,1578,401378,4932,438420,40396
Sanity,new_prices,currency_swap,0.24640532768276072,1.0,0.39538554948391014,0.9659336599250117,0.03406634007498837,0.0,0.9828192407177485,4884,14937,0,423531,4884,438468,19821
Sanity,new_prices,decimal_shift,0.0,0.0,0.0,0.9547894118586271,0.0452105881413729,1.0,0.0,0,19821,4937,418594,4937,438415,19821
Sanity,new_prices,extreme_outlier,0.0036325109732102314,0.014524914262658867,0.005811607070788601,0.9549515847580379,0.04504841524196216,0.9854750857373411,0.11777346854704039,72,19749,4885,418646,4957,438395,19821
Sanity,new_prices,list_price_violation,0.24852429241713334,1.0,0.39810886168020365,0.9660261937020158,0.03397380629798415,0.0,0.982866315274878,4926,14895,0,423531,4926,438426,19821
Sanity,new_prices,negative_price,0.25261086726199483,1.0,0.403334944417593,0.9662047017759984,0.033795298224001645,0.0,0.9829571210261404,5007,14814,0,423531,5007,438345,19821
Sanity,new_prices,price_drop,0.0,0.0,0.0,0.9547947736089603,0.04520522639103969,1.0,0.0,0,19821,4885,418646,4885,438467,19821
Sanity,new_prices,price_noise,0.0,0.0,0.0,0.9547979694320157,0.045202030567984344,1.0,0.0,0,19821,4854,418677,4854,438498,19821
Sanity,new_prices,price_spike,0.0,0.0,0.0,0.9547877618333983,0.04521223816660166,1.0,0.0,0,19821,4953,418578,4953,438399,19821
Sanity,new_prices,zero_price,0.24882700166490088,1.0,0.3984971518603806,0.9660394142602984,0.033960585739701656,0.0,0.9828730407638101,4932,14889,0,423531,4932,438420,19821
Sanity -> IF,new_prices,currency_swap,0.07990314769975787,1.0,0.14798206278026907,0.8717352235510916,0.12826477644890846,0.0,0.9336676194187584,4884,56240,0,382228,4884,438468,61124
Sanity -> IF,new_prices,decimal_shift,0.08077023754989857,1.0,0.14946791601701456,0.8718406076434428,0.12815939235655716,0.0,0.9337240532638339,4937,56187,0,382228,4937,438415,61124
Sanity -> IF,new_prices,extreme_outlier,0.08109744126693279,1.0,0.1500279959443713,0.8718803818474207,0.1281196181525793,0.0,0.9337453517139567,4957,56167,0,382228,4957,438395,61124
