run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),currency_swap,4884,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),decimal_shift,4937,3327,0.6738910269394369
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),extreme_outlier,4957,3363,0.6784345370183579
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),list_price_violation,4926,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),negative_price,5007,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),price_drop,4885,2919,0.5975435005117707
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),price_noise,4854,1336,0.27523691800576844
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),price_spike,4953,3358,0.6779729456894811
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),zero_price,4932,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,currency_swap,4884,3393,0.6947174447174447
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,decimal_shift,4937,3328,0.6740935790966174
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,extreme_outlier,4957,3414,0.6887230179544079
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,list_price_violation,4926,2414,0.49005278116118556
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,negative_price,5007,3375,0.6740563211503895
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,price_drop,4885,3038,0.6219037871033777
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,price_noise,4854,1658,0.3415739596209312
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,price_spike,4953,3379,0.6822128003230366
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,zero_price,4932,3316,0.6723438767234388
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,currency_swap,10493,6868,0.6545315924902316
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,decimal_shift,10575,7281,0.6885106382978723
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,extreme_outlier,10424,8302,0.7964313123561013
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,list_price_violation,10460,2196,0.20994263862332696
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,negative_price,10403,6162,0.592329135826204
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,price_drop,10533,5245,0.49795879616443556
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,price_noise,10525,1718,0.16323040380047507
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,price_spike,10398,6311,0.6069436430082709
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,zero_price,10330,6285,0.6084220716360116
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),currency_swap,10493,5890,0.5613265986848375
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),decimal_shift,10575,5257,0.49711583924349884
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),extreme_outlier,10424,5564,0.5337682271680737
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),list_price_violation,10460,1229,0.11749521988527725
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),negative_price,10403,4100,0.3941170816110737
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),price_drop,10533,3324,0.31557960694958703
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),price_noise,10525,1262,0.11990498812351544
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),price_spike,10398,5117,0.4921138680515484
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),zero_price,10330,3850,0.3727008712487899
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,currency_swap,10493,10493,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,decimal_shift,10575,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,extreme_outlier,10424,184,0.017651573292402148
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,list_price_violation,10460,10460,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,negative_price,10403,10403,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,price_drop,10533,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,price_noise,10525,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,price_spike,10398,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,zero_price,10330,10330,1.0
