scope_id,mh_level,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
COMPETITOR_2_COUNTRY_1,mh20,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3655296104755437,0.802722649229475,0.5536471290022652,0.8451946484940923,0.1548053515059076,0.197277350770525,0.8516916681229028,20992.0,36437.0,5159.0,198936.0,26151.0,235373.0,57429.0
COMPETITOR_2_COUNTRY_1,mh25,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.421869111920613,0.8431380753138076,0.5871126931594716,0.871621433153887,0.128378566846113,0.1568619246861924,0.8719521340733728,20151.0,27615.0,3749.0,187491.0,23900.0,215106.0,47766.0
COMPETITOR_2_COUNTRY_1,mh30,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.4591580314538216,0.8370824110773666,0.6161043054901169,0.8904520888736381,0.1095479111263618,0.1629175889226334,0.8724127354848363,16262.0,19155.0,3165.0,155700.0,19427.0,174855.0,35417.0
COMPETITOR_2_COUNTRY_1,mh5,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.4091430379246253,0.8307148783555924,0.558172690013806,0.8667073080068396,0.1332926919931603,0.1692851216444075,0.8605105319398416,31038.0,44823.0,6325.0,291452.0,37363.0,336275.0,75861.0
COMPETITOR_2_COUNTRY_2,mh10,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.424972384256119,0.7945865642437858,0.6198665247752217,0.8805417330949965,0.1194582669050034,0.2054134357562142,0.8664468218095012,21929.0,29672.0,5669.0,218716.0,27598.0,248388.0,51601.0
COMPETITOR_2_COUNTRY_2,mh15,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4137365844896493,0.8059394681595521,0.6101124635388312,0.8731108281740516,0.1268891718259483,0.1940605318404478,0.8683505347010194,18427.0,26111.0,4437.0,179667.0,22864.0,205778.0,44538.0
COMPETITOR_2_COUNTRY_2,mh20,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4059694737106791,0.8121635897177927,0.5989470369210301,0.8679640735296583,0.1320359264703416,0.1878364102822073,0.8681019949660912,16145.0,23624.0,3734.0,155297.0,19879.0,178921.0,39769.0
COMPETITOR_2_COUNTRY_2,mh25,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> IF,combined,0.4325580053099388,0.8543174693644913,0.6165970030873417,0.8754812807133087,0.1245187192866913,0.1456825306355087,0.8786559028319201,14989.0,19663.0,2556.0,138249.0,17545.0,157912.0,34652.0
COMPETITOR_2_COUNTRY_2,mh30,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> IF,combined,0.4574330983246152,0.8581383773021404,0.6392189451007907,0.8869155777465279,0.1130844222534721,0.1418616226978596,0.8860939999054127,12068.0,14314.0,1995.0,112264.0,14063.0,126578.0,26382.0
COMPETITOR_2_COUNTRY_2,mh5,COMPETITOR_2_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4301089169710093,0.7836532799434696,0.6061723534404669,0.8846343833111431,0.1153656166888569,0.2163467200565304,0.8596955995823011,26616.0,35266.0,7348.0,270423.0,33964.0,305689.0,61882.0
COMPETITOR_2_COUNTRY_3,mh10,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4198420721077074,0.7838407045759143,0.6249621184531698,0.879651972016751,0.1203480279832489,0.2161592954240857,0.8637134311257377,28658.0,39601.0,7903.0,289453.0,36561.0,329054.0,68259.0
COMPETITOR_2_COUNTRY_3,mh15,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4063262731993382,0.789113698542979,0.622566886681162,0.8718952030511578,0.1281047969488422,0.210886301457021,0.8637756364363266,24805.0,36242.0,6629.0,246667.0,31434.0,282909.0,61047.0
COMPETITOR_2_COUNTRY_3,mh20,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4033192883033726,0.7949517661565243,0.6218379313179814,0.8693290567467049,0.1306709432532951,0.2050482338434757,0.8660463112767324,21920.0,32429.0,5654.0,215744.0,27574.0,248173.0,54349.0
COMPETITOR_2_COUNTRY_3,mh25,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3878733031674208,0.7982369009187981,0.6173515335981424,0.860030718010503,0.139969281989497,0.2017630990812018,0.867227531824972,19287.0,30438.0,4875.0,187024.0,24162.0,217462.0,49725.0
COMPETITOR_2_COUNTRY_3,mh30,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3962010643342641,0.7972328244274809,0.6124787433898176,0.8650076569678408,0.1349923430321592,0.202767175572519,0.8643543375961423,15039.0,22919.0,3825.0,146861.0,18864.0,169780.0,37958.0
COMPETITOR_2_COUNTRY_3,mh5,COMPETITOR_2_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4226388016862499,0.7749453750910416,0.6047745708207362,0.882375820985914,0.1176241790140859,0.2250546249089584,0.8565497368478765,32984.0,45059.0,9579.0,338017.0,42563.0,383076.0,78043.0
COMPETITOR_2_COUNTRY_4,mh10,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.5068304996658994,0.8390228913811646,0.6870321831404851,0.9092883040975605,0.0907116959024396,0.1609771086188354,0.8919140767529898,27306.0,26570.0,5239.0,266336.0,32545.0,292906.0,53876.0
