mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.013488543976348855,0.3686868686868687,0.02880417523851602,0.6733157926941198,0.3266842073058802,0.6313131313131313,0.5185925850339981,73.0,5339.0,125.0,11004.0,198.0,16343.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.012669416617560401,0.25903614457831325,0.015153258605297093,0.7436309387193023,0.25636906128069775,0.7409638554216867,0.3411869858136326,43.0,3351.0,123.0,9720.0,166.0,13071.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.008794619762027936,0.1574074074074074,0.016518782489292835,0.8009764204840553,0.19902357951594474,0.8425925925925926,0.3700881611800787,17.0,1916.0,91.0,7711.0,108.0,9627.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.011503406778161225,0.23381294964028776,0.021702409314037663,0.7631807678446503,0.2368192321553497,0.7661870503597122,0.41209447088949935,130.0,11171.0,426.0,36000.0,556.0,47171.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.024155263892767384,0.9301075268817204,0.04642446307494195,0.5109680579365357,0.4890319420634643,0.06989247311827956,0.711255731541194,346.0,13978.0,26.0,14605.0,372.0,28583.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.026988636363636364,0.9661016949152542,0.06560780649849475,0.513379114373668,0.486620885626332,0.03389830508474576,0.7772298127556911,285.0,10275.0,10.0,10840.0,295.0,21115.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.03972653362897265,0.9772727272727273,0.08786884606339873,0.6815758838306476,0.31842411616935234,0.022727272727272728,0.8439981526720371,215.0,5197.0,5.0,11124.0,220.0,16321.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.043606364172068354,0.961038961038961,0.09637186100561192,0.7518917679431323,0.2481082320568677,0.03896103896103896,0.8757700784464594,148.0,3246.0,6.0,9837.0,154.0,13083.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.05587170201758924,0.9310344827586207,0.11397582215926468,0.8102713379769206,0.1897286620230793,0.06896551724137931,0.8923914795295704,108.0,1825.0,8.0,7794.0,116.0,9619.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_spike,0.04813733297938236,0.8486739469578783,0.09291710301584731,0.7715456823684322,0.22845431763156776,0.15132605304212168,0.8355190043962206,544.0,10757.0,97.0,36329.0,641.0,47086.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.02513264451270595,1.0,0.05703980387743841,0.5116628781255464,0.48833712187445355,0.0,0.7226160760606957,360.0,13964.0,0.0,14631.0,360.0,28595.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.02537878787878788,1.0,0.07305364626720565,0.5131964809384164,0.4868035190615836,0.0,0.7822457000671798,268.0,10292.0,0.0,10850.0,268.0,21142.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.03898743532889874,1.0,0.09223271714621195,0.6815064298836497,0.31849357011635027,0.0,0.8478535898102042,211.0,5201.0,0.0,11129.0,211.0,16330.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.047731290512669416,1.0,0.11511595905353246,0.752810707456979,0.24718929254302102,0.0,0.8832088861476541,162.0,3232.0,0.0,9843.0,162.0,13075.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.060527677185721676,1.0,0.13303880597014922,0.8111873570388854,0.18881264296111458,0.0,0.9050905377912781,117.0,1816.0,0.0,7802.0,117.0,9618.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,zero_price,0.05229625696840987,1.0,0.10473033738669614,0.772785132382892,0.22721486761710794,0.0,0.8794096158860742,591.0,10710.0,0.0,36426.0,591.0,47136.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.07571157495256167,1.0,0.1629875921487729,0.8294228883597142,0.17057711164028574,0.0,0.9212737673178104,399.0,4871.0,0.0,23685.0,399.0,28556.0,5270.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.05943840951014552,1.0,0.13546595991083157,0.782717803030303,0.21728219696969697,0.0,0.9049976384196267,290.0,4589.0,0.0,16531.0,290.0,21120.0,4879.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.05459486166007905,1.0,0.10865550974209717,0.7655024509803922,0.23449754901960784,0.0,0.8914711383953625,221.0,3827.0,0.0,12493.0,221.0,16320.0,4048.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.04935861684327942,1.0,0.10507617752675799,0.7389739663093415,0.2610260336906585,0.0,0.8824966579868951,177.0,3409.0,0.0,9651.0,177.0,13060.0,3586.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.04533913674283642,1.0,0.07811367745129663,0.7261186264308013,0.2738813735691987,0.0,0.8715136553223866,125.0,2632.0,0.0,6978.0,125.0,9610.0,2757.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,currency_swap,0.08266526481797871,1.0,0.15620271854460246,0.8517983778504395,0.14820162214956048,0.0,0.9255562640638281,629.0,6980.0,0.0,40118.0,629.0,47098.0,7609.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.054079696394686905,0.787292817679558,0.13197367868129264,0.8256566292449201,0.1743433707550799,0.212707182320442,0.873234984307606,285.0,4985.0,77.0,23608.0,362.0,28593.0,5270.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.048165607706497235,0.8639705882352942,0.12767995664138093,0.7803008799318762,0.21969912006812375,0.13602941176470587,0.8753812639011085,235.0,4644.0,37.0,16494.0,272.0,21138.0,4879.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.04594861660079051,0.8691588785046729,0.11203553974654266,0.7634593005451094,0.23654069945489067,0.1308411214953271,0.8462738732361286,186.0,3862.0,28.0,12465.0,214.0,16327.0,4048.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.046291132180702736,0.8877005347593583,0.1275739904957726,0.7379310344827587,0.2620689655172414,0.11229946524064172,0.8579005532864099,166.0,3420.0,21.0,9630.0,187.0,13050.0,3586.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.04098657961552412,0.8560606060606061,0.116411074469459,0.7246693741539102,0.27533062584608975,0.14393939393939395,0.8484729182957689,113.0,2644.0,19.0,6959.0,132.0,9603.0,2757.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,decimal_shift,0.05835195163622026,0.746218487394958,0.12467360217360218,0.8479801408809301,0.15201985911906984,0.253781512605042,0.8424821857966355,444.0,7165.0,151.0,39967.0,595.0,47132.0,7609.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.04800759013282732,0.7689969604863222,0.10996369870552551,0.8247397470830713,0.17526025291692868,0.23100303951367782,0.8508156515230807,253.0,5017.0,76.0,23609.0,329.0,28626.0,5270.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.040992006558721046,0.823045267489712,0.10630912464327612,0.7789483630179053,0.22105163698209476,0.17695473251028807,0.8714141403510821,200.0,4679.0,43.0,16488.0,243.0,21167.0,4879.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.04298418972332016,0.8877551020408163,0.09920026083513821,0.7629856225145304,0.23701437748546955,0.11224489795918367,0.8718331707387477,174.0,3874.0,22.0,12471.0,196.0,16345.0,4048.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.03764640267707752,0.8385093167701864,0.09302575849584527,0.7360813704496788,0.2639186295503212,0.16149068322981366,0.8549987424595034,135.0,3451.0,26.0,9625.0,161.0,13076.0,3586.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.04026115342763874,0.8671875,0.09706035408616318,0.7245758301238681,0.275424169876132,0.1328125,0.8508021513943054,111.0,2646.0,17.0,6961.0,128.0,9607.0,2757.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,extreme_outlier,0.05532921540281246,0.7398945518453427,0.11930040492489949,0.8475762330887654,0.15242376691123458,0.2601054481546573,0.8418450413758843,421.0,7188.0,148.0,39970.0,569.0,47158.0,7609.0
