mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> IF,combined,0.3738847683542943,0.8566590727171972,0.5380773996119339,0.8406121304163418,0.1593878695836582,0.1433409272828028,0.8602856158628349,13913.0,23299.0,2328.0,122879.0,16241.0,146178.0,37212.0
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.3423270683975973,0.8702666091989409,0.5047560478354322,0.8142401729398405,0.1857598270601595,0.129733390801059,0.8535732966985413,14134.0,27154.0,2107.0,119024.0,16241.0,146178.0,41288.0
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.3152826053266621,0.8768548734683825,0.4899732324375477,0.7884223344142073,0.2115776655857926,0.1231451265316175,0.8481448828898364,14241.0,30928.0,2000.0,115250.0,16241.0,146178.0,45169.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4594353905067236,0.8077976982697879,0.6561551017351783,0.8944026442830426,0.1055973557169573,0.1922023017302121,0.8786774588012571,10318.0,12140.0,2455.0,102825.0,12773.0,114965.0,22458.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> IF,combined,0.396762169273498,0.8499960854928365,0.5721241491446764,0.8564171704431783,0.1435828295568216,0.1500039145071635,0.871075041354141,10857.0,16507.0,1916.0,98458.0,12773.0,114965.0,27364.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.3540478174475995,0.8648712127143192,0.521549574231144,0.8246857739311965,0.1753142260688035,0.1351287872856807,0.8601026147058584,11047.0,20155.0,1726.0,94810.0,12773.0,114965.0,31202.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.3267845063380489,0.8698817818836608,0.5113966345916178,0.8008959248466925,0.1991040751533075,0.1301182181163391,0.8563056414387613,11111.0,22890.0,1662.0,92075.0,12773.0,114965.0,34001.0
mh20,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4479161286990652,0.8200642965204236,0.6483408727745991,0.8876959280581586,0.1123040719418414,0.1799357034795764,0.8813466355568413,8673.0,10690.0,1903.0,84498.0,10576.0,95188.0,19363.0
mh20,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> IF,combined,0.4442049573821887,0.8574130105900152,0.6108552542604591,0.8808043030634114,0.1191956969365886,0.1425869894099848,0.8816936108028344,9068.0,11346.0,1508.0,83842.0,10576.0,95188.0,20414.0
mh20,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.3868109824898658,0.8751891074130106,0.5485798603030576,0.8458524183720637,0.1541475816279363,0.1248108925869894,0.8712067738998108,9256.0,14673.0,1320.0,80515.0,10576.0,95188.0,23929.0
